the highest score;value;model;the lowest scores;value;model
ACC;0.902258377853326;XGB wds;ACC;0.830985915492957;LR wcw
AUC;0.599594740294056;XGB wcw;AUC;0.231809908366834;DTC wds
PRECISION_ALL;0.885845893489;XGB wds;PRECISION_ALL;0.845278207392242;DTC wds
RECALL_ALL;0.902258377853326;XGB wds;RECALL_ALL;0.830985915492957;LR wcw
F1_ALL;0.881218176554701;XGB wds;F1_ALL;0.843774216192748;DTC wcw
PRECISION_1;0.683582089552238;XGB wds;PRECISION_1;0.309697601668404;DTC wds
RECALL_1;0.609913793103448;XGB wcw;RECALL_1;0.223060344827586;SVC wds
F1_1;0.461344537815126;SVC wcw;F1_1;0.314785373608903;DTC wds
