Model;ACC;AUC;PRECISION_ALL;RECALL_ALL;F1_ALL;PRECISION_1;RECALL_1;F1_1
LogisticRegression;0.8308644973288004;0.5817884687069437;0.8785962946370014;0.8308644973288004;0.8491410580696084;0.3540489642184557;0.6077586206896551;0.4474414914716382
DecisionTreeClassifier;0.8750607090820787;0.4076354679802954;0.8791184758843343;0.8750607090820787;0.8770035718916135;0.4493480441323972;0.4827586206896552;0.46545454545454545
RandomForestClassifier;0.8920592520641087;0.5247523380140797;0.8729555896356996;0.8920592520641087;0.8779165531237907;0.538160469667319;0.2963362068965517;0.3822098679638638
SVC;0.8438562408936376;0.5345162304418398;0.8806143651326095;0.8438562408936376;0.8583393718558892;0.37756497948016415;0.5948275862068966;0.4619246861924687
XGBClassifier;0.8336571151044196;0.594175844138686;0.8825461187453157;0.8336571151044196;0.8520416096367236;0.36324257425742573;0.6325431034482759;0.46147798742138363
