Model;ACC;AUC;PRECISION_ALL;RECALL_ALL;F1_ALL;PRECISION_1;RECALL_1;F1_1
LogisticRegression;0.9009227780475959;0.5771723064473511;0.8833160474215987;0.9009227780475959;0.8799743973497297;0.6637426900584795;0.24461206896551724;0.35748031496062993
DecisionTreeClassifier;0.8430063137445362;0.23180990836683457;0.8452782073922426;0.8430063137445362;0.8441290322323117;0.3096976016684046;0.32004310344827586;0.314785373608903
RandomForestClassifier;0.891452161243322;0.5357207736443763;0.871675852425827;0.891452161243322;0.8767292747208496;0.534;0.28771551724137934;0.3739495798319328
SVC;0.8984944147644488;0.412184244238718;0.8789194606608567;0.8984944147644488;0.8759099701877009;0.6428571428571429;0.22306034482758622;0.3312
XGBClassifier;0.9022583778533269;0.597292409829568;0.8858458934890001;0.9022583778533269;0.8812181765547017;0.6835820895522388;0.24676724137931033;0.3626286619160728
