Model;ACC;AUC;PRECISION_ALL;RECALL_ALL;F1_ALL;PRECISION_1;RECALL_1;F1_1
LogisticRegression;0.8309859154929577;0.5819226508974578;0.8786286709087917;0.8309859154929577;0.8492310129892504;0.3542713567839196;0.6077586206896551;0.4476190476190476
DecisionTreeClassifier;0.8413064594463332;0.2405442842515524;0.8463713841922095;0.8413064594463332;0.8437742161927488;0.30992978936810434;0.3329741379310345;0.32103896103896107
RandomForestClassifier;0.8918164157357941;0.5264138379291472;0.8713723994216956;0.8918164157357941;0.8761668753798159;0.5386221294363257;0.27801724137931033;0.3667377398720682
SVC;0.8443419135502671;0.5271078989959042;0.8803547666985855;0.8443419135502671;0.8585833714615085;0.378099173553719;0.5915948275862069;0.4613445378151261
XGBClassifier;0.8332928606119475;0.5995947402940565;0.8795272677130014;0.8332928606119475;0.8510150935764064;0.3589093214965124;0.6099137931034483;0.45189620758483035
